location,zone,month,GHI_monthly,DNI_monthly
Dang,Inner Terai,11,125.47421052631577,189.84736842105264
Dang,Inner Terai,12,117.35947368421053,193.5457894736842
Dhanusha,Madhesh Terai,1,123.0657894736842,189.30263157894737
Dhanusha,Madhesh Terai,2,135.92473684210526,184.6821052631579
Dhanusha,Madhesh Terai,3,185.29684210526315,224.76
Dhanusha,Madhesh Terai,4,198.15684210526317,217.41631578947369
Dhanusha,Madhesh Terai,5,192.8036842105263,188.34368421052633
Dhanusha,Madhesh Terai,6,153.41105263157894,127.93157894736841
Dhanusha,Madhesh Terai,7,122.49,83.54736842105264
Dhanusha,Madhesh Terai,8,125.76315789473684,93.35473684210527
Dhanusha,Madhesh Terai,9,124.4557894736842,112.06473684210526
Dhanusha,Madhesh Terai,10,139.97684210526316,166.86052631578946
Dhanusha,Madhesh Terai,11,125.77052631578947,182.14105263157893
Dhanusha,Madhesh Terai,12,115.45736842105264,184.16684210526316
Dolpa,High Mountain,1,116.17315789473685,160.88684210526316
Dolpa,High Mountain,2,139.1378947368421,161.09684210526316
Dolpa,High Mountain,3,188.78157894736842,186.92
Dolpa,High Mountain,4,209.10526315789474,187.13894736842104
Dolpa,High Mountain,5,208.0236842105263,171.45315789473685
Dolpa,High Mountain,6,175.1921052631579,130.60684210526315
Dolpa,High Mountain,7,134.31263157894736,70.39263157894737
Dolpa,High Mountain,8,132.71684210526314,76.48631578947368
Dolpa,High Mountain,9,145.9557894736842,121.5221052631579
Dolpa,High Mountain,10,142.71263157894737,158.62947368421052
Dolpa,High Mountain,11,122.00578947368422,170.35315789473685
Dolpa,High Mountain,12,104.38157894736842,157.22105263157894
Gorkha,Central Hills,1,110.47894736842105,155.70684210526315
Gorkha,Central Hills,2,121.97842105263159,149.32684210526315
Gorkha,Central Hills,3,169.2163157894737,185.89105263157893
Gorkha,Central Hills,4,183.81736842105263,183.84421052631578
Gorkha,Central Hills,5,178.90684210526317,160.1342105263158
Gorkha,Central Hills,6,141.34368421052633,108.99684210526316
Gorkha,Central Hills,7,101.73894736842105,52.49263157894737
Gorkha,Central Hills,8,107.71157894736842,64.57263157894738
Gorkha,Central Hills,9,113.1715789473684,89.36684210526316
Gorkha,Central Hills,10,129.11947368421053,142.8063157894737
Gorkha,Central Hills,11,109.89999999999999,144.09
Gorkha,Central Hills,12,105.64052631578947,157.24263157894737
Gulmi,Western Hills,1,101.75157894736842,126.32947368421054
Gulmi,Western Hills,2,114.59421052631579,127.68263157894735
Gulmi,Western Hills,3,165.03052631578947,173.05315789473684
Gulmi,Western Hills,4,183.15842105263158,179.19315789473686
Gulmi,Western Hills,5,182.24894736842106,164.74
Gulmi,Western Hills,6,142.6442105263158,109.35631578947368
Gulmi,Western Hills,7,107.73684210526316,62.752631578947366
Gulmi,Western Hills,8,110.43105263157895,69.46368421052631
Gulmi,Western Hills,9,114.60263157894735,91.32
Gulmi,Western Hills,10,125.00526315789473,127.4857894736842
Gulmi,Western Hills,11,104.51526315789474,125.96000000000001
Gulmi,Western Hills,12,88.76,111.20842105263158
Humla,High Mountain,1,113.91894736842106,169.1184210526316
Humla,High Mountain,2,121.50578947368422,146.11368421052632
Humla,High Mountain,3,169.77684210526317,177.33473684210526
Humla,High Mountain,4,192.76052631578946,184.7384210526316
Humla,High Mountain,5,203.97368421052633,175.28052631578947
Humla,High Mountain,6,176.86789473684212,135.3021052631579
Humla,High Mountain,7,135.49894736842106,73.46315789473684
Humla,High Mountain,8,132.0542105263158,78.19157894736843
Humla,High Mountain,9,134.29315789473685,109.65947368421054
Humla,High Mountain,10,140.24315789473684,166.1405263157895
Humla,High Mountain,11,117.37263157894736,170.57105263157894
Humla,High Mountain,12,110.19736842105263,180.41842105263157
Jhapa,Eastern Terai,1,119.47684210526316,177.58315789473684
Jhapa,Eastern Terai,2,129.7136842105263,170.94263157894736
Jhapa,Eastern Terai,3,174.6536842105263,205.51105263157896
Jhapa,Eastern Terai,4,175.9678947368421,177.16526315789474
Jhapa,Eastern Terai,5,164.25526315789475,139.29000000000002
Jhapa,Eastern Terai,6,124.99842105263157,87.98105263157895
Jhapa,Eastern Terai,7,109.05894736842104,67.04947368421053
Jhapa,Eastern Terai,8,115.69368421052631,78.67
Jhapa,Eastern Terai,9,115.68684210526317,99.05315789473684
Jhapa,Eastern Terai,10,133.82210526315788,155.5757894736842
Jhapa,Eastern Terai,11,122.94157894736841,173.41947368421054
Jhapa,Eastern Terai,12,114.08842105263157,178.22736842105263
Kailali,Far-West Terai,1,116.94789473684212,181.11631578947367
Kailali,Far-West Terai,2,130.20000000000002,176.11736842105265
Kailali,Far-West Terai,3,178.07526315789474,216.69789473684213
Kailali,Far-West Terai,4,196.24842105263158,216.18894736842105
Kailali,Far-West Terai,5,202.3736842105263,204.36
Kailali,Far-West Terai,6,166.42263157894735,147.30473684210526
Kailali,Far-West Terai,7,116.50210526315789,73.57684210526315
Kailali,Far-West Terai,8,119.22736842105265,83.01368421052632
Kailali,Far-West Terai,9,129.19736842105263,117.3521052631579
Kailali,Far-West Terai,10,143.6257894736842,182.26842105263157
Kailali,Far-West Terai,11,124.15736842105262,192.10473684210524
Kailali,Far-West Terai,12,114.10157894736841,187.52947368421053
Kanchanpur,Far-West Terai,1,116.41368421052633,176.91421052631577
Kanchanpur,Far-West Terai,2,130.1242105263158,174.62947368421052
Kanchanpur,Far-West Terai,3,177.9463157894737,209.01736842105262
Kanchanpur,Far-West Terai,4,196.5342105263158,209.53842105263158
Kanchanpur,Far-West Terai,5,202.87736842105264,199.19105263157894
Kanchanpur,Far-West Terai,6,168.49263157894737,148.57157894736844
Kanchanpur,Far-West Terai,7,114.56210526315789,73.23631578947368
Kanchanpur,Far-West Terai,8,116.98473684210526,79.7557894736842
Kanchanpur,Far-West Terai,9,131.4257894736842,121.75473684210527
Kanchanpur,Far-West Terai,10,144.7342105263158,182.41631578947369
Kanchanpur,Far-West Terai,11,123.47526315789474,183.13368421052633
Kanchanpur,Far-West Terai,12,113.83368421052633,187.22526315789474
Kapilvastu,Western Terai,1,119.90578947368421,181.0978947368421
Kapilvastu,Western Terai,2,132.50368421052633,179.92105263157896
Kapilvastu,Western Terai,3,185.7157894736842,224.59473684210528
Kapilvastu,Western Terai,4,203.14315789473685,229.71894736842106
Kapilvastu,Western Terai,5,205.21263157894737,208.28526315789475
Kapilvastu,Western Terai,6,163.41105263157894,143.10052631578947
Kapilvastu,Western Terai,7,122.14999999999999,83.2836842105263
Kapilvastu,Western Terai,8,124.20157894736842,92.03631578947369
Kapilvastu,Western Terai,9,127.08684210526316,116.96684210526315
Kapilvastu,Western Terai,10,141.58578947368423,173.8078947368421
Kapilvastu,Western Terai,11,122.97421052631577,180.72842105263157
Kapilvastu,Western Terai,12,113.26736842105262,181.8394736842105
Mahottari,Madhesh Terai,1,124.53421052631579,193.4321052631579
Mahottari,Madhesh Terai,2,137.5978947368421,188.44315789473686
Mahottari,Madhesh Terai,3,186.75526315789475,227.0157894736842
Mahottari,Madhesh Terai,4,200.5936842105263,221.51526315789474
Mahottari,Madhesh Terai,5,197.06052631578947,195.11
Mahottari,Madhesh Terai,6,158.25526315789475,134.40947368421052
Mahottari,Madhesh Terai,7,124.67315789473685,86.17736842105262
Mahottari,Madhesh Terai,8,127.75842105263158,96.00684210526315
Mahottari,Madhesh Terai,9,126.21263157894737,114.53263157894736
Mahottari,Madhesh Terai,10,141.7784210526316,170.43736842105264
Mahottari,Madhesh Terai,11,127.63736842105264,186.42631578947368
Mahottari,Madhesh Terai,12,117.26894736842105,188.77315789473684
Mustang,High Mountain,1,140.78947368421052,212.5115789473684
Mustang,High Mountain,2,152.26263157894738,188.38947368421054
Mustang,High Mountain,3,209.08315789473684,234.5515789473684
Mustang,High Mountain,4,226.86315789473682,229.88631578947368
Mustang,High Mountain,5,224.5415789473684,206.92315789473685
Mustang,High Mountain,6,181.47,149.21052631578948
Mustang,High Mountain,7,144.05736842105264,90.28947368421052
Mustang,High Mountain,8,142.45947368421054,97.47368421052632
Mustang,High Mountain,9,149.4978947368421,132.4715789473684
